gen 1,gen 2,gen 3,gen 4,gen 5,gen 6,gen 7,gen 8,gen 9,gen 10,csp generation,discharge,charge,Demands
168.815275063378,168.815275063378,168.815275063378,168.815275063378,168.815275063378,168.815275063378,168.815275063378,168.815275063378,168.815275063378,168.815275063378,0,0,263.103439330816,1425.04931130296
168.925630441643,168.925630441643,168.925630441643,168.925630441643,168.925630441643,168.925630441643,168.925630441643,168.925630441643,168.925630441643,168.925630441643,0,0,212.122765959492,1477.13353845694
169.036052072887,169.036052072887,169.036052072887,169.036052072887,169.036052072887,169.036052072887,169.036052072887,169.036052072887,169.036052072887,169.036052072887,0,0,337.738314091125,1352.62220663774
169.146539996885,169.146539996885,169.146539996885,169.146539996885,169.146539996885,169.146539996885,169.146539996885,169.146539996885,169.146539996885,169.146539996885,0,0,268.581933361987,1422.88346660686
177.428904103465,177.428904103465,177.428904103465,177.428904103465,177.428904103465,177.428904103465,177.428904103465,177.428904103465,177.428904103465,177.428904103465,0,0,0,1774.28904103465
230.180951225343,230.180951225343,230.180951225343,230.180951225343,230.180951225343,230.180951225343,230.180951225343,230.180951225343,230.180951225343,230.180951225343,0,185.734302859071,0,2487.5438151125
236.788469595057,236.788469595057,236.788469595057,236.788469595057,236.788469595057,236.788469595057,236.788469595057,236.788469595057,236.788469595057,236.788469595057,0,475.000000000003,0,2842.88469595057
233.425604013001,233.425604013001,233.425604013001,233.425604013001,233.425604013001,233.425604013001,233.425604013001,233.425604013001,233.425604013001,233.425604013001,0,475.000000000003,0,2809.25604013001
230.622807058471,230.622807058471,230.622807058471,230.622807058471,230.622807058471,230.622807058471,230.622807058471,230.622807058471,230.622807058471,230.622807058471,0,260.600603302838,0,2566.82867388755
230.770269220003,230.770269220003,230.770269220003,230.770269220003,230.770269220003,230.770269220003,230.770269220003,230.770269220003,230.770269220003,230.770269220003,0,20.0984499537192,0,2327.80114215375
200.562776608657,200.562776608657,200.562776608657,200.562776608657,200.562776608657,200.562776608657,200.562776608657,200.562776608657,200.562776608657,200.562776608657,0,0,0,2005.62776608657
172.009748982472,172.009748982472,172.009748982472,172.009748982472,172.009748982472,172.009748982472,172.009748982472,172.009748982472,172.009748982472,172.009748982472,0,0,220.165616069411,1499.93187375531
145.347555111535,145.347555111535,145.347555111535,145.347555111535,145.347555111535,145.347555111535,145.347555111535,145.347555111535,145.347555111535,145.347555111535,0,0,475.000000000003,978.475551115352
131.719684857418,131.719684857418,131.719684857418,131.719684857418,131.719684857418,131.719684857418,131.719684857418,131.719684857418,131.719684857418,131.719684857418,0,0,475.000000000003,842.19684857418
147.380434960122,147.380434960122,147.380434960122,147.380434960122,147.380434960122,147.380434960122,147.380434960122,147.380434960122,147.380434960122,147.380434960122,0,0,475.000000000003,998.804349601215
172.459246423857,172.459246423857,172.459246423857,172.459246423857,172.459246423857,172.459246423857,172.459246423857,172.459246423857,172.459246423857,172.459246423857,0,0,229.384819331096,1495.20764490748
174.247147850201,174.247147850201,174.247147850201,174.247147850201,174.247147850201,174.247147850201,174.247147850201,174.247147850201,174.247147850201,174.247147850201,0,0,0,1742.47147850201
223.831720157252,223.831720157252,223.831720157252,223.831720157252,223.831720157252,223.831720157252,223.831720157252,223.831720157252,223.831720157252,223.831720157252,0,0,0,2238.31720157252
374.456347312745,374.456347312745,374.456347312745,374.456347312745,374.456347312745,374.456347312745,374.456347312745,374.456347312745,374.456347312745,374.456347312745,0,475.000000000003,0,4219.56347312745
322.051910021537,322.051910021537,322.051910021537,322.051910021537,322.051910021537,322.051910021537,322.051910021537,322.051910021537,322.051910021537,322.051910021537,0,475.000000000003,0,3695.51910021538
236.396296282633,236.396296282633,236.396296282633,236.396296282633,236.396296282633,236.396296282633,236.396296282633,236.396296282633,236.396296282633,236.396296282633,0,379.385264134285,0,2743.34822696061
176.175890709227,176.175890709227,176.175890709227,176.175890709227,176.175890709227,176.175890709227,176.175890709227,176.175890709227,176.175890709227,176.175890709227,0,0,24.3612459741339,1737.39766111813
